Product Name,Stock,Sell By Date,Calorie,Price
Ispanak,60,2023-08-08,100,15.2
Yoğurt,60,2023-08-15,80,21.0
Tuz,45,2024-08-12,90,8.0
Karnabahar,55,2023-09-01,120,9.5
Kaşar Peyniri,40,2023-08-25,70,120.0
Taze Fasulye,70,2023-08-31,60,5.0
Soğan,65,2023-09-05,80,4.0
Domates,30,2023-08-20,120,6.0
Sıvı Yağ,25,2024-08-15,100,61.5
Biber,10,2023-08-15,100,10
Kıyma,35,2023-08-30,80,156.5
Pirinç,40,2024-08-17,75,30.5
Patates,55,2023-09-03,110,8.0
Un,30,2024-08-23,65,20.5
Yumurta,45,2023-08-14,95,72.0
Kabak,60,2023-08-12,85,2.5
Üzüm Yaprağı,55,2023-08-29,75,84.5
Limon,40,2023-08-22,70,4.5
Kuzu Eti,70,2023-09-02,130,215.5
Sarımsak,35,2023-08-27,60,3.0
Dana Eti,40,2023-08-19,100,353.5
Patlıcan,50,2023-08-26,90,12.0
Zeytinyağı,60,2024-08-21,110,90.5
Tavuk Eti,55,2023-08-13,95,68.5
Nohut,30,2023-08-16,80,2.5
Tereyağı,40,2023-08-11,75,214.5
Süt,45,2023-08-28,70,22.0
Hindi Eti,65,2023-08-24,110,253.0
Mantar,50,2023-09-04,120,4.0
Yufka,30,2023-08-05,80,15.0
Bulgur,40,2023-08-20,70,19.5
Havuç,25,2023-08-15,60,7.5
Bezelye,50,2023-08-30,100,3.0
Lor Peyniri,35,2023-08-25,90,96.5
Makarna,60,2024-09-10,80,12.5
Domates Sosu,55,2023-09-15,100,22.5
Krema,20,2023-08-25,110,30.5
Parmesan Peyniri,15,2023-08-20,80,184.0
Tarhana,35,2023-08-30,70,22.0
Arpa Şehriye,50,2023-08-30,100,13.0
Mercimek,70,2023-08-05,80,22.0
Salatalık,40,2023-08-22,70,14.5
Semizotu,70,2023-09-02,130,25.5
Nar Ekşisi,12,2023-08-27,60,34.0
Çikolata Sosu,40,2023-08-19,100,39.5
Şeker,25,2023-08-15,100,41.5
Kabartma Tozu,50,2023-08-18,90,3.0
Ceviz,35,2024-08-30,80,42.5
Tel Kadayıf,40,2023-08-17,75,30.5
Vanilya,55,2023-09-03,110,4.0
Kahve,45,2024-08-12,90,42.0
Karadut,55,2023-09-01,120,13.5
Portakal,40,2023-08-25,70,14.0
Elma,70,2023-08-31,60,25.0
Şalgam,65,2023-09-05,80,12.0
Şeftali,36,2023-10-08,35,118.5
Ayva,45,2023-08-12,90,22.0
Tahin,18,2023-12-31,119,41.5
